age,age_int,
1 years,1,1
2 years,1,2
3 years,1,3
4 years,1,4
5 years,1,5
6 years,1,6
7 years,1,7
8 years,1,8
9 years,1,9
10 years,1,10
11 years,1,11
12 years,1,12
13 years,1,13
14 years,1,14
15 years,1,15
16 years,1,16
17 years,1,17
18 years,1,18
19 years,1,19
20 years,1,20
21 years,1,21
22 years,1,22
23 years,1,23
24 years,1,24
25 years,1,25
26 years,1,26
27 years,27,27
28 years,28,28
29 years,29,29
30 years,30,30
31 years,31,31
32 years,32,32
33 years,33,33
34 years,34,34
35 years,35,35
36 years,36,36
37 years,37,37
38 years,38,38
39 years,39,39
40 years,40,40
41 years,41,41
42 years,42,42
43 years,43,43
44 years,44,44
45 years,45,45
46 years,46,46
47 years,47,47
48 years,48,48
49 years,49,49
50 years,50,50
51 years,51,51
52 years,52,52
53 years,53,53
54 years,54,54
55 years,55,55
56 years,56,56
57 years,57,57
58 years,58,58
59 years,59,59
60 years,60,60
61 years,61,61
62 years,62,62
63 years,63,63
64 years,64,64
65 years,65,65
66 years,66,66
67 years,67,67
68 years,68,68
69 years,69,69
70 years,70,70
71 years,71,71
72 years,72,72
73 years,73,73
74 years,74,74
75 years,75,75
76 years,76,76
77 years,77,77
78 years,78,78
79 years,79,79
80 years,80,80
81 years,81,81
82 years,82,82
83 years,83,83
84 years,84,84
85 years,85,85
86 years,86,86
87 years,87,87
88 years,88,88
89 years,89,89
90 years,90,90
91 years,91,91
92 years,92,92
93 years,93,93
94 years,94,94
95 years,95,95
96 years,96,96
97 years,97,97
98 years,98,98
99 years,99,99
100 years,100,100
101 years,101,101
102 years,102,102
103 years,103,103
104 years,104,104
105 years,105,105
106 years,106,106
107 years,107,107
108 years,108,108
109 years,109,109
110 years,110,110
111 years,111,111
112 years,112,112
113 years,113,113
114 years,114,114
115 years,115,115
116 years,116,116
117 years,117,117
118 years,118,118
119 years,119,119
120 years,120,120
121 years,121,121
122 years,122,122
123 years,123,123
124 years,124,124